14.14.59.409543,12747,12265,11372,9540,511,14266,12329,496,6907,14615,3659,18830
14.14.59.446249,15014,15933,10728,10499,7980,8332,11565,5321,2802,14303,12138,-1513
14.14.59.485588,9382,9819,13846,13273,24355,2103,13279,23905,13917,9784,21829,22038
14.14.59.523197,8773,10821,13068,15021,3790,24428,12484,8547,17380,7302,-1668,22051
14.14.59.561421,13592,13986,10587,9105,461,9923,12163,474,2291,15152,11134,-1824
14.14.59.598831,20504,15311,12021,12677,15480,1978,11480,24383,13825,10693,16351,-1757
14.14.59.636511,5747,9399,13600,13387,24378,20213,13751,13906,12846,8516,16261,22089
14.14.59.674735,11419,11786,13122,13096,491,20248,12329,4262,11668,11353,-917,21727
14.14.59.712807,14761,15517,10870,11725,8653,8775,11617,13218,6593,12052,12967,-1778
14.14.59.750510,16233,12202,13783,13231,23885,471,12737,24419,13939,9780,22163,21089
14.14.59.789535,8004,10711,13169,15523,24372,24403,13081,10127,14232,5553,6634,22122
14.14.59.825249,11902,11989,12576,11894,513,17831,12314,992,9339,12673,3446,13297
14.14.59.863457,16696,15884,10681,10858,6302,8842,12041,2198,3039,14309,12105,-1843
14.14.59.899742,18525,14562,13106,12898,17394,8764,13468,22289,13266,8602,19093,22085
14.14.59.939919,8937,11231,13064,15326,14669,24422,12571,9204,17820,6478,-1608,22154
14.14.59.976084,12596,12069,12327,11671,504,16806,12304,488,8922,13467,5720,14391
14.15.00.013290,16059,15583,10583,9450,1260,9740,12102,963,2605,14523,11848,-1926
14.15.00.050058,17407,13817,13593,13156,21038,490,11994,24280,14124,9974,22308,-1011
14.15.00.088221,4797,10235,13247,15479,22908,24419,12853,9187,17718,6385,-1667,22102
14.15.00.126834,13036,12453,11322,9859,506,15121,12396,489,6958,14817,5529,17412
14.15.00.163204,15909,15704,10845,10324,3769,8876,12072,2508,2758,15136,11057,-1575
14.15.00.198176,20049,15975,11403,12349,13390,7221,11309,17039,6543,12351,12662,-1808
14.15.00.233414,17145,14265,13420,13063,19404,489,11846,24200,14205,10246,22075,-1843
14.15.00.271055,4547,9894,13262,14611,24370,24402,13498,10949,13675,6142,8103,22227
14.15.00.308119,11462,11544,13045,13437,486,22517,12439,3984,14412,8211,-1585,22184
14.15.00.343915,13120,12433,11615,9830,483,12068,12319,493,5649,15392,9397,600
14.15.00.381392,19113,15735,11892,12591,16612,1596,11405,24314,12401,11318,13432,-1856
14.15.00.419234,8867,9973,13597,13159,24362,9916,13589,14586,12974,8873,17656,22084
14.15.00.456753,9569,10945,13062,14926,14563,24410,12641,8971,17381,7286,-1641,22090
14.15.00.497498,18614,15850,11621,12345,15336,1918,11351,24090,13497,10886,14105,-1754
14.15.00.535824,8980,10034,13472,13198,24342,471,12522,23828,13948,10326,22152,-1901
14.15.00.570916,5135,10000,13383,13809,24361,24277,13574,11559,12994,6682,5724,22123
14.15.00.610692,13198,12539,11389,9715,483,12920,12354,486,6998,14774,9458,4290
14.15.00.647073,17094,15584,11237,10839,7825,9133,11551,4070,4802,13373,12659,-1868
14.15.00.682938,17567,13187,13417,12946,18138,1253,11659,23377,13473,11338,13718,-1794
14.15.00.718877,10237,10810,13515,13133,23454,617,13534,23024,13654,10199,19902,-1826
14.15.00.754790,6040,10905,13079,13695,24368,20180,13782,12275,12411,7168,8397,22021
14.15.00.791790,11863,12220,12572,12585,468,17562,12185,1869,9994,10822,6198,19767
14.15.00.829634,14471,14261,11524,10437,5127,9936,11630,1121,4413,13671,11822,-1870
14.15.00.865757,17834,13622,12922,12680,15478,2898,11473,22740,12878,11484,12851,-1834
14.15.00.902055,10916,11286,13348,13103,24353,10576,14041,19529,13184,9775,17286,18714
14.15.00.939526,8994,11462,12893,14772,21984,24406,12713,7968,15208,6152,-1742,22080
14.15.00.975747,12305,12237,12151,12206,473,18566,12215,733,10582,11570,1003,17970
14.15.01.013000,14862,15512,11425,11608,10290,8959,10859,7910,6193,12761,13571,-1832
14.15.01.050999,14358,11448,13628,13123,21815,480,12868,22153,13772,9884,22299,-1544
14.15.01.088130,5944,11000,13095,14485,24365,24398,13022,9659,13303,6139,1115,22121
14.15.01.126283,12651,12340,11757,11199,485,16275,12289,453,8931,13637,6955,15914
14.15.01.162611,14004,14361,11250,10349,5851,9306,11185,6180,5795,12938,12857,-1867
14.15.01.200163,16061,13161,13383,12898,17442,882,11797,22479,13833,10588,20379,-1817
